ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
9150421958716,simple,,Montanari 3412 Acordeón 3 Registros SOL Negro,1,0,visible,Los acordeones Montanari están hechos para el Músico que busca lo elemental,"Los acordeones Montanari están hechos para el Músico que busca lo elemental en un acordeón para el uso rudo del día a día. Es un acordeón de manufactura china con voces tipo a mano y afinación estilo italiana. Con estas simples especificaciones te garantizamos que el sonido de tu acordeón será el sonido perfecto para tu música norteña! Un sonido fuerte, claro, robusto y sobre todo con una calibración perfecta para interpretar tus melodías favoritas de nuestra querida música norteña. Este es el modelo más completo de la línea M ontanari , ya que cuenta con una botonadura de 34 botones de agudos y 12 botones de bajos (incluyen voces), como los encuentras en cualquier acordeón profesional de manufactura italiana y por si fuera poco, además cuenta con tres registros o switches para darle una mayor versatilidad al sonido de tus melodías. Incluye estuche de uso ligero y correas.",,,taxable,,1,1,,0,0,,,,,1,,,729.00,Montanari,,,https://accordionproshop.com/cdn/shop/files/Montanari-3412-Accordion-3-Switch-GCF-Black-Accordions-Concertinas-www_hermesmusic_com_1600x.jpg?v=1715353054,,,,,,,,,0
8908197331004,simple,,Montanari 3412 Acordeón 3 Registros SOL Rojo,1,0,visible,Los acordeones Montanari estan hechos para el Músico que busca lo elemental,"Los acordeones Montanari estan hechos para el Músico que busca lo elemental en un acordeón para el uso rudo del día a día. Es un acordeón de manufactura china con voces tipo a mano y afinación estilo italiana. Con estas simples especificaciones te garantizamos que el sonido de tu acordeón será el sonido perfecto para tu música norteña! Un sonido fuerte, claro, robusto y sobre todo con una calibración perfecta para interpretar tus melodías favoritas de nuestra querida música norteña. Este es el modelo más completo de la línea montanari , ya que cuenta con una botonadura de 34 botones de agudos y 12 botones de bajos (incluyen voces), como los encuentras en cualquier acordeón profesional de manufactura italiana y por si fuera poco, además cuenta con tres registros o switches para darle una mayor versatilidad al sonido de tus melodías. Incluye estuche de uso ligero y correas.",,,taxable,,1,1,,0,0,,,,,1,,,729.00,Montanari,,,https://accordionproshop.com/cdn/shop/files/Montanari-3412-Accordion-3-Switch-GCF-Red-accordion-www_hermesmusic_com_1600x.jpg?v=1716573232,,,,,,,,,0
9150421794876,simple,,Montanari 3412 Acordeón 3 Registros MI Negro,1,0,visible,Los acordeones Montanari estan hechos para el Músico que busca lo elemental,"Los acordeones Montanari estan hechos para el Músico que busca lo elemental en un acordeón para el uso rudo del día a día. Es un acordeón de manufactura china con voces tipo a mano y afinación estilo italiana. Con estas simples especificaciones te garantizamos que el sonido de tu acordeón será el sonido perfecto para tu música norteña! Un sonido fuerte, claro, robusto y sobre todo con una calibración perfecta para interpretar tus melodías favoritas de nuestra querida música norteña. Este es el modelo más completo de la línea montanari, ya que cuenta con una botonadura de 34 botones de agudos y 12 botones de bajos (incluyen voces), como los encuentras en cualquier acordeón profesional de manufactura italiana y por si fuera poco, además cuenta con tres registros o switches para darle una mayor versatilidad al sonido de tus melodías. Incluye estuche de uso ligero y correas.",,,taxable,,1,1,,0,0,,,,,1,,,729.00,Montanari,,,https://accordionproshop.com/cdn/shop/files/Montanari-3412-Accordion-3-Switch-EAD-Black-accordion-www_hermesmusic_com_1600x.jpg?v=1716573236,,,,,,,,,0
9032799748156,simple,,Montanari 3412 Acordeón 3 Registros MI Blanco,1,0,visible,Los acordeones Montanari estan hechos para el Músico que busca lo elemental,"Los acordeones Montanari estan hechos para el Músico que busca lo elemental en un acordeón para el uso rudo del día a día. Es un acordeón de manufactura china con voces tipo a mano y afinación estilo italiana. Con estas simples especificaciones te garantizamos que el sonido de tu acordeón será el sonido perfecto para tu música norteña! Un sonido fuerte, claro, robusto y sobre todo con una calibración perfecta para interpretar tus melodías favoritas de nuestra querida música norteña. Este es el modelo más completo de la línea montanari , ya que cuenta con una botonadura de 34 botones de agudos y 12 botones de bajos (incluyen voces), como los encuentras en cualquier acordeón profesional de manufactura italiana y por si fuera poco, además cuenta con tres registros o switches para darle una mayor versatilidad al sonido de tus melodías. Incluye estuche de uso ligero y correas.",,,taxable,,1,1,,0,0,,,,,1,,,729.00,Montanari,,,https://accordionproshop.com/cdn/shop/files/Montanari-3412-Accordion-3-Switch-EAD-White-accordion-www_hermesmusic_com_1600x.jpg?v=1715070639,,,,,,,,,0
40637075095686,simple,,Montanari CM II 3412 Acordeón 3 Registros MI Verde,1,0,visible,Descubre el Latido de la Música Norteña Adéntrate en el conmovedor mundo de,"Descubre el Latido de la Música Norteña Adéntrate en el conmovedor mundo de la música norteña con el acordeón Montanari CM II . Este instrumento es una combinación perfecta para los músicos que mantienen cerca de sus corazones los sonidos tradicionales de este preciado género. Con sus bloques de lengüetas hechos a mano y su afinación de estilo italiano, el M ontanari CM II ofrece un sonido fuerte, claro y robusto que encarna la esencia de sus canciones favoritas. Exquisita Artesanía y Diseño El M ontanari CM II destaca por su elegante acabado, lo que lo convierte en algo más que un simple instrumento: es una declaración de clase. Con 34 botones de agudos y 12 de graves, refleja los altos estándares de su inspiración italiana y ofrece la experiencia más completa de su clase. Los tres interruptores proporcionan una gran versatilidad, permitiéndole crear fácilmente paisajes sonoros ricos y complejos. La Versatilidad se une a la Comodidad Ya sea que esté perfeccionando sus habilidades en casa o cautivando a una audiencia con una actuación en vivo, el M ontanari CM II se adapta a cada entorno. Disponible en clave FA. MI, y SOL; también permite la exploración de otras claves, atendiendo a su exploración musical. El estuche rígido y las correas incluidos garantizan que su acordeón esté siempre protegido y listo para viajar. Características de un Vistazo: Color: Verde 34 botones de agudos para control melódico Clave: MI para Auténtico Sonido Norteño 12 botones de bajo para profundidad armónica Bloques de caña incluidos para una calidad de sonido superior Estuche rígido protector y correas para facilitar el transporte Cada nota tocada en el M ontanari CM II resuena con la auténtica vibra de los ritmos norteños, lo que lo convierte en una herramienta esencial para tu expresión musical. Deja que tu talento florezca con este exquisito acordeón. Elegancia Visual y Durabilidad Las imágenes muestran el elegante diseño del M ontanari CM II y el resistente estuche rígido que lo acompaña. El impecable acabado del acordeón y el nuevo diseño de la parrilla reflejan su estética moderna, mientras que la robusta caja de madera alude a la durabilidad y protección de la que disfruta su instrumento. Con sus pestillos seguros y esquinas reforzadas, el estuche rígido promete almacenamiento y transporte seguros, garantizando que su acordeón permanezca en óptimas condiciones dondequiera que lo lleve su música.",,,taxable,,1,1,,0,0,,,,,1,,,829.00,Montanari,,,https://accordionproshop.com/cdn/shop/files/Montanari-CM-II-Accordion-3-Switch-3412-EAD-Green-accordion-www_hermesmusic_com_1600x.jpg?v=1715732763,,,,,,,,,0
40637075062918,simple,,Montanari CM II 3412 Acordeón 3 Registros MI Naranja,1,0,visible,Descubre el Latido de la Música Norteña Adéntrate en el conmovedor mundo de,"Descubre el Latido de la Música Norteña Adéntrate en el conmovedor mundo de la música norteña con el acordeón Montanari CM II . Este instrumento es una combinación perfecta para los músicos que mantienen cerca de sus corazones los sonidos tradicionales de este preciado género. Con sus bloques de lengüetas hechos a mano y su afinación de estilo italiano, el M ontanari CM II ofrece un sonido fuerte, claro y robusto que encarna la esencia de sus canciones favoritas. Exquisita Artesanía y Diseño El M ontanari CM II destaca por su elegante acabado, lo que lo convierte en algo más que un simple instrumento: es una declaración de clase. Con 34 botones de agudos y 12 de graves, refleja los altos estándares de su inspiración italiana y ofrece la experiencia más completa de su clase. Los tres interruptores proporcionan una gran versatilidad, permitiéndole crear fácilmente paisajes sonoros ricos y complejos. La Versatilidad se une a la Comodidad Ya sea que esté perfeccionando sus habilidades en casa o cautivando a una audiencia con una actuación en vivo, el M ontanari CM II se adapta a cada entorno. Disponible en clave FA. MI, y SOL; también permite la exploración de otras claves, atendiendo a su exploración musical. El estuche rígido y las correas incluidos garantizan que su acordeón esté siempre protegido y listo para viajar. Características de un Vistazo: Color: Naranja 34 botones de agudos para control melódico Clave: MI para Auténtico Sonido Norteño 12 botones de bajo para profundidad armónica Bloques de caña incluidos para una calidad de sonido superior Estuche rígido protector y correas para facilitar el transporte Cada nota tocada en el M ontanari CM II resuena con la auténtica vibra de los ritmos norteños, lo que lo convierte en una herramienta esencial para tu expresión musical. Deja que tu talento florezca con este exquisito acordeón. Elegancia Visual y Durabilidad Las imágenes muestran el elegante diseño del M ontanari CM II y el resistente estuche rígido que lo acompaña. El impecable acabado del acordeón y el nuevo diseño de la parrilla reflejan su estética moderna, mientras que la robusta caja de madera alude a la durabilidad y protección de la que disfruta su instrumento. Con sus pestillos seguros y esquinas reforzadas, el estuche rígido promete almacenamiento y transporte seguros, garantizando que su acordeón permanezca en óptimas condiciones dondequiera que lo lleve su música.",,,taxable,,1,1,,0,0,,,,,1,,,829.00,Montanari,,,https://accordionproshop.com/cdn/shop/files/Montanari-CM-II-Accordion-3-Switch-3412-EAD-Orange-accordion-www_hermesmusic_com_1600x.jpg?v=1715808875,,,,,,,,,0
40637075128454,simple,,Montanari CM II 3412 Acordeón 3 Registros FA Naranja,1,0,visible,No description available,No description available,,,taxable,,1,1,,0,0,,,,,1,,,829.00,Montanari,,,No image available,,,,,,,,,0
40637075161222,simple,,Montanari CM II 3412 Acordeón 3 Registros MI Rojo,1,0,visible,No description available,No description available,,,taxable,,1,1,,0,0,,,,,1,,,829.00,Montanari,,,No image available,,,,,,,,,0
40637075226758,simple,,Montanari CM II 3412 Acordeón 3 Registros FA Verde,1,0,visible,No description available,No description available,,,taxable,,1,1,,0,0,,,,,1,,,829.00,Montanari,,,No image available,,,,,,,,,0
40637075259526,simple,,Montanari CM II 3412 Acordeón 3 Registros SOL Gris,1,0,visible,No description available,No description available,,,taxable,,1,1,,0,0,,,,,1,,,829.00,Montanari,,,No image available,,,,,,,,,0
