ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
3014,simple,,1 oz Gold Johnson Matthew Bar,1,0,visible,"1 - 9: $3,262.75 10 - 24: $3,262.75 25 - 49: $3,262.75 50 - ∞: $3,262.75","1 - 9: $3,262.75 10 - 24: $3,262.75 25 - 49: $3,262.75 50 - ∞: $3,262.75",,,taxable,,1,1,,0,0,,,,,1,,,"3,262.75",Gold Stock,,,https://goldstockcanada.com/storage/products/current/1-oz-gold-johnson-matthew-bar-0.jpg,,,,,,,,,0
3017,simple,,1 oz Gold Metalor Bar,1,0,visible,"1 - 9: $3,269.12 10 - 24: $3,269.12 25 - 49: $3,269.12 50 - ∞: $3,269.12","1 - 9: $3,269.12 10 - 24: $3,269.12 25 - 49: $3,269.12 50 - ∞: $3,269.12",,,taxable,,1,1,,0,0,,,,,1,,,"3,269.12",Gold Stock,,,https://goldstockcanada.com/storage/products/current/1-oz-gold-metalor-bar-0.jpg,,,,,,,,,0
3040,simple,,Silver 10 OZ RCM Monster Box,1,0,visible,"1 - 9: $23,217.89 10 - 24: $23,217.89 25 - 49: $23,217.89 50 - ∞: $23,217.8","1 - 9: $23,217.89 10 - 24: $23,217.89 25 - 49: $23,217.89 50 - ∞: $23,217.89",,,taxable,,1,1,,0,0,,,,,1,,,"23,217.89",Gold Stock,,,https://goldstockcanada.com/storage/products/current/silver-10-oz-rcm-monster-box-0.jpg,,,,,,,,,0
3052,simple,,1 oz Britannia Gold Bar Minted,1,0,visible,"1 - 9: $3,262.75 10 - 24: $3,262.75 25 - 49: $3,262.75 50 - ∞: $3,262.75","1 - 9: $3,262.75 10 - 24: $3,262.75 25 - 49: $3,262.75 50 - ∞: $3,262.75",,,taxable,,1,1,,0,0,,,,,1,,,"3,262.75",Gold Stock,,,https://goldstockcanada.com/storage/products/current/1-oz-britannia-gold-bar-minted-0.jpg,,,,,,,,,0
3059,simple,,1 oz Britannia Gold Bullion Coin,1,0,visible,"1 - 9: $3,310.50 10 - 24: $3,310.50 25 - 49: $3,310.50 50 - ∞: $3,310.50","1 - 9: $3,310.50 10 - 24: $3,310.50 25 - 49: $3,310.50 50 - ∞: $3,310.50",,,taxable,,1,1,,0,0,,,,,1,,,"3,310.50",Gold Stock,,,https://goldstockcanada.com/storage/products/current/1-oz-britannia-gold-bullion-coin-0.jpg,,,,,,,,,0
3064,simple,,1 oz British Silver Britannia Coin (BU),1,0,visible,1 - 9: $52.72 10 - 24: $52.72 25 - 49: $52.72 50 - ∞: $52.72,1 - 9: $52.72 10 - 24: $52.72 25 - 49: $52.72 50 - ∞: $52.72,,,taxable,,1,1,,0,0,,,,,1,,,52.72,Gold Stock,,,https://goldstockcanada.com/storage/products/current/1-oz-british-silver-britannia-coin-bu-0.jpg,,,,,,,,,0
3120,simple,,1000-Oz Silver Bar,1,0,visible,"1 - 9: $43,394.14 10 - 24: $43,394.14 25 - 49: $43,394.14 50 - ∞: $43,394.1","1 - 9: $43,394.14 10 - 24: $43,394.14 25 - 49: $43,394.14 50 - ∞: $43,394.14",,,taxable,,1,1,,0,0,,,,,1,,,"43,394.14",Gold Stock,,,https://goldstockcanada.com/storage/products/current/1000-oz-silver-bar-0.jpg,,,,,,,,,0
3144,simple,,1-oz Philharmonic Gold Coin,1,0,visible,"1 - 9: $3,298.76 10 - 24: $3,298.76 25 - 49: $3,298.76 50 - ∞: $3,298.76","1 - 9: $3,298.76 10 - 24: $3,298.76 25 - 49: $3,298.76 50 - ∞: $3,298.76",,,taxable,,1,1,,0,0,,,,,1,,,"3,297.77",Gold Stock,,,https://goldstockcanada.com/storage/products/current/1-oz-philharmonic-gold-coin-0.jpg,,,,,,,,,0
3147,simple,,1/2 oz Philharmonic Gold Coin,1,0,visible,"1 - 9: $1,711.47 10 - 24: $1,711.47 25 - 49: $1,711.47 50 - ∞: $1,711.47","1 - 9: $1,711.47 10 - 24: $1,711.47 25 - 49: $1,711.47 50 - ∞: $1,711.47",,,taxable,,1,1,,0,0,,,,,1,,,"1,710.95",Gold Stock,,,https://goldstockcanada.com/storage/products/current/12-oz-philharmonic-gold-coin-0.jpg,,,,,,,,,0
3149,simple,,1/2 oz Britianna Gold Coin,1,0,visible,"1 - 9: $1,703.51 10 - 24: $1,703.51 25 - 49: $1,703.51 50 - ∞: $1,703.51","1 - 9: $1,703.51 10 - 24: $1,703.51 25 - 49: $1,703.51 50 - ∞: $1,703.51",,,taxable,,1,1,,0,0,,,,,1,,,"1,703.00",Gold Stock,,,https://goldstockcanada.com/storage/products/current/12-oz-britianna-gold-coin-0.jpg,,,,,,,,,0
3151,simple,,1/4 oz Britannia Coin,1,0,visible,1 - 9: $883.60 10 - 24: $883.60 25 - 49: $883.60 50 - ∞: $883.60,1 - 9: $883.60 10 - 24: $883.60 25 - 49: $883.60 50 - ∞: $883.60,,,taxable,,1,1,,0,0,,,,,1,,,883.33,Gold Stock,,,https://goldstockcanada.com/storage/products/current/14-oz-britannia-coin-0.jpg,,,,,,,,,0
3153,simple,,1 oz Asahi Silver Coin,1,0,visible,1 - 9: $50.69 10 - 24: $50.69 25 - 49: $50.69 50 - ∞: $50.69,1 - 9: $50.69 10 - 24: $50.69 25 - 49: $50.69 50 - ∞: $50.69,,,taxable,,1,1,,0,0,,,,,1,,,50.69,Gold Stock,,,https://goldstockcanada.com/storage/products/current/1-oz-asahi-silver-coin-0.jpg,,,,,,,,,0
3159,simple,,100 oz Asahi Silver Bar,1,0,visible,"1 - 9: $4,542.19 10 - 24: $4,542.19 25 - 49: $4,542.19 50 - ∞: $4,542.19","1 - 9: $4,542.19 10 - 24: $4,542.19 25 - 49: $4,542.19 50 - ∞: $4,542.19",,,taxable,,1,1,,0,0,,,,,1,,,"4,542.19",Gold Stock,,,https://goldstockcanada.com/storage/products/current/100-oz-asahi-silver-bar-0.jpg,,,,,,,,,0
3161,simple,,1/2 oz American Eagle Gold Coin,1,0,visible,"1 - 9: $1,719.43 10 - 24: $1,719.43 25 - 49: $1,719.43 50 - ∞: $1,719.43","1 - 9: $1,719.43 10 - 24: $1,719.43 25 - 49: $1,719.43 50 - ∞: $1,719.43",,,taxable,,1,1,,0,0,,,,,1,,,"1,718.91",Gold Stock,,,https://goldstockcanada.com/storage/products/current/12-oz-american-eagle-gold-coin-0.jpg,,,,,,,,,0
3433,simple,,500 G OMC Silver Bar (99.99%),1,0,visible,1 - 9: $858.31 10 - 24: $858.31 25 - 49: $858.31 50 - ∞: $858.31,1 - 9: $858.31 10 - 24: $858.31 25 - 49: $858.31 50 - ∞: $858.31,,,taxable,,1,1,,0,0,,,,,1,,,858.31,Gold Stock,,,https://goldstockcanada.com/storage/products/current/500-g-omc-silver-bar-9999-0.jpg,,,,,,,,,0
